attack_summary_attack_config,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
None,,False,0,21,0,0,0,0,0,mnist,212542,10000,1080,6000,21,1764275964.1342986,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153759,session_1764275880_21,1764275880.8566942,83.27760457992554,1764275964.1344903,declining,0.0,0.0,0,1
None,,False,0,20,0,0,0,0,0,mnist,212542,10000,1080,6000,20,1764275964.1543267,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153759,session_1764275881_20,1764275881.3647513,82.78957605361938,1764275964.154463,declining,0.0,0.0,0,1
None,,False,0,23,0,0,0,0,0,mnist,212542,10000,1080,6000,23,1764275964.2373884,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153759,session_1764275881_23,1764275881.1943557,83.04303312301636,1764275964.237657,declining,0.0,0.0,0,1
None,,False,0,22,0,0,0,0,0,mnist,212542,10000,1080,6000,22,1764275964.2375531,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153759,session_1764275881_22,1764275881.20525,83.03230357170105,1764275964.2379127,declining,0.0,0.0,0,1
