attack_summary_attack_config,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
None,,False,0,29,0.05833333333333334,46,0.9583333333333334,2,48,mnist,212542,10000,1080,6000,29,1764278183.6051638,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276197_29,1764276197.8760629,1985.7291011810303,1764278183.6053464,declining,0.47955000000000003,1.804238221421172,0.1447,10
None,,False,0,31,0,0,0,0,0,mnist,212542,10000,1080,6000,31,1764278183.6289184,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276198_31,1764276198.1138036,1985.5151154994965,1764278183.6290965,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,27,0.3575,8,0.5,8,16,mnist,212542,10000,1080,6000,27,1764278183.6481209,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276197_27,1764276197.7222579,1985.9258632659912,1764278183.648326,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,23,0.250625,18,0.5625,14,32,mnist,212542,10000,1080,6000,23,1764278183.674247,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276198_23,1764276198.0039022,1985.6703453063965,1764278183.6745148,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,35,0.0625,31,0.96875,1,32,mnist,212542,10000,1080,6000,35,1764278183.677517,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276198_35,1764276198.2649193,1985.4125983715057,1764278183.6778994,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,24,0.128125,29,0.90625,3,32,mnist,212542,10000,1080,6000,24,1764278183.6936731,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276197_24,1764276197.604844,1986.0888302326202,1764278183.6940014,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,34,0.05625,15,0.9375,1,16,mnist,212542,10000,1080,6000,34,1764278183.731524,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276198_34,1764276198.4486835,1985.2828409671783,1764278183.7319252,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,28,0,0,0,0,0,mnist,212542,10000,1080,6000,28,1764278183.9790409,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154316,session_1764276197_28,1764276197.9945161,1985.9845263957977,1764278183.9794383,improving,0.5167555555555556,1.3881362814672782,0.7911,10
