attack_summary_attack_config,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
None,,False,0,40,0,0,0,0,0,mnist,212542,10000,1080,6000,40,1764275964.1352906,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153802,session_1764275883_40,1764275883.5134828,80.62180829048157,1764275964.1355202,declining,0.0,0.0,0,1
None,,False,0,38,0,0,0,0,0,mnist,212542,10000,1080,6000,38,1764275964.1899374,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153802,session_1764275883_38,1764275883.2419066,80.9480311870575,1764275964.190076,declining,0.0,0.0,0,1
None,,False,0,37,0,0,0,0,0,mnist,212542,10000,1080,6000,37,1764275964.2371416,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153802,session_1764275883_37,1764275883.2566066,80.98053550720215,1764275964.237295,declining,0.0,0.0,0,1
None,,False,0,48,0,0,0,0,0,mnist,212542,10000,1080,6000,48,1764275964.2379858,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_153802,session_1764275883_48,1764275883.8580105,80.37997555732727,1764275964.23824,declining,0.0,0.0,0,1
