bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
0,18,0.0029566287994384766,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.07585332741102713,52.076610574865775,1161168127501.9785,1161.1681275019787,1.0,0.8893016099795057,0.5190359750499755,0.0,0.11069839002049431,3,0.1,inf,inf,-inf,-inf,1764276745.7326145,Clean
1,18,0.0015957355499267578,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.976254050927889,45749258584.84714,0.16098878781167242,1348.1031767942327,0.8764273447357401,0.8764273447357401,1.0823616478461673,0.12357265526425987,0.01287426524376556,3,0.0,inf,inf,-inf,-inf,1764276745.7633903,Clean
2,18,0.002361774444580078,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,0.5992211409344188,42.61334697240228,0.017160681705634822,1324.9688072708946,0.7929274664145811,0.7735391665276519,0.9152908628021287,0.08349987832115902,0.10288817820808827,3,0.2,1e-06,36816160190.59525,0.804721911413431,0.7946189457047772,1764276745.795767,Clean
3,18,0.0024323463439941406,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.8898063339801974,7.971125912254784,0.2063557393136187,1051.5538894788192,0.8093828046740749,0.761264477451312,0.5150484595520411,0.016455338259493746,0.012274689076339884,3,0.1,1e-06,31247324726.449677,0.788205062771727,0.7670602813669887,1764276745.829153,Clean
4,18,0.003521442413330078,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.5745951776274385,5.227692742275493,0.3451373756061042,1414.4844392022753,0.8154856352811819,0.8401583182921122,0.9160299904346997,0.006102830607107035,0.0788938408408002,3,0.1,1e-06,27449555161.69716,0.7828110558301373,0.7758496823917491,1764276745.8676195,Clean
5,18,0.0027971267700195312,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,0.7231801416189758,5.80806464342994,0.20834864569748426,1709.1903564704432,0.7967767342032337,0.7307861841495948,0.9845065616370159,0.018708901077948203,0.10937213414251734,3,0.2,1e-06,24674618460.60521,0.7753381990660476,0.7519569221834304,1764276745.9041836,Clean
6,18,0.002460956573486328,True,False,False,True,True,True,False,False,True,False,False,1.0,0.0,2.0211099223217444,7.224340726858886,0.012135620281973744,1729.932441626192,0.7128880056198642,0.6653135942371343,1.503393771430978,0.08388872858336949,0.06547258991246052,3,0.5,1e-06,22544514042.845825,0.7464231898676936,0.7153871931349391,1764276745.9387708,Poisoned
7,18,0.00278472900390625,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.9678038964494551,4.830935702610666,0.1816317039340807,1415.7218645626006,0.7930700006422423,0.782161974448546,1.0306729178230711,0.0801819950223781,0.11684838021141164,3,0.0,1e-06,20848802443.020214,0.7463439071501806,0.7191077638268828,1764276745.9745634,Clean
8,18,0.0027179718017578125,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.4270441537499128,3.33059081961097,0.04761134775467772,1483.126290580239,0.7908434010736434,0.8168737413062063,0.7843650462406174,0.0022265995685989415,0.03471176685766031,3,0.0,1e-06,19460855842.96682,0.7463081638402533,0.725617555636888,1764276746.0112314,Clean
9,18,0.0027701854705810547,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1.3732153166618968,3.4092923174559884,0.11005334101122127,1319.9032871601942,0.7450483317968065,0.7975621210605369,0.986619474405989,0.04579506927683685,0.019311620245669348,3,0.0,1e-06,18299703442.771656,0.7389852148466429,0.7295224317397455,1764276746.0478473,Clean
