bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
0,41,0.0030841827392578125,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.741671496591108,377.82077046798344,8428118967539.119,8428.11896753912,1.0,1.0,0.20466552125396817,0.0,0.0,1,0.1,inf,inf,-inf,-inf,1764276336.0390272,Clean
1,41,0.0015621185302734375,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,0.6809445837627486,769885005481.0414,0.056387993208483395,8903.363682641062,0.04820542485187148,0.04820542485187148,0.3030773024053428,0.9517945751481285,0.9517945751481285,1,0.2,inf,inf,-inf,-inf,1764276336.067082,Clean
2,41,0.002210378646850586,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.13249268760142652,35.02823416822774,0.13160126382302345,10075.057595552766,0.0675674970976634,0.10652221311287252,0.10865071295897079,0.019362072245791916,0.05831678826100104,1,0.1,1e-06,619555607273.6451,-0.07226261224573421,-0.050676767725436334,1764276336.0993822,Clean
3,41,0.002340078353881836,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.6506692029476011,7.620145210306494,0.025077225270211622,9822.403106618707,0.028955834258591384,0.015665387927739405,0.11158081506043033,0.03861166283907201,0.09085682518513312,1,0.0,1e-06,525841237784.33997,-0.12616674954983764,-0.11711542113787232,1764276336.1318314,Clean
4,41,0.0036699771881103516,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.4505506795151879,4.367487901153122,0.05986414367452653,9234.39335581491,0.02044763897110154,0.011220748262362972,0.25734064543874935,0.008508195287489844,0.004444639665376433,1,0.0,1e-06,461931003331.10846,-0.15079240874858815,-0.1470308240456641,1764276336.1775384,Clean
5,41,0.002508878707885742,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.518514542170661,4.06989781266535,0.011353349068729271,9339.234647021442,0.0009467415773903983,-0.021976770551568683,0.40896798612488255,0.019500897393711143,0.033197518813931653,1,0.1,1e-06,415233368805.25696,-0.1665491880790764,-0.169677737279563,1764276336.2130613,Clean
6,41,0.0024776458740234375,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.45020763057067414,3.2583957318935406,0.11242068925209647,10389.157843126764,0.018645710990733127,-0.034621494847463664,0.18559122931108585,0.01769896941334273,0.012644724295894982,1,0.1,1e-06,379387204255.02246,-0.17048857819684798,-0.18464358502999595,1764276336.2481499,Clean
7,41,0.002473115921020508,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.3491796183888889,2.874396930900136,0.06463362293689227,9717.668932462188,0.024829130354639576,0.02995231108188286,0.15356368029586684,0.006183419363906449,0.06457380592934653,1,0.0,1e-06,350851158546.51074,-0.17016838508702897,-0.18156555557216564,1764276336.2832325,Clean
8,41,0.0025517940521240234,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.28402769009794415,2.769199392674859,0.06158667241317528,10316.147825625489,0.016365780019325572,-0.02137419095790749,0.02352314729285105,0.008463350335314004,0.05132650203979035,1,0.1,1e-06,327494293133.55646,-0.16971934158991142,-0.18572448630377547,1764276336.3190892,Clean
9,41,0.0025177001953125,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.434686159933666,2.5385117164567528,0.04946722583520547,9805.83661138586,0.032677317443551984,0.10622503821395488,0.2371418845805352,0.016311537424226412,0.12759922917186237,1,0.0,1e-06,307954002221.773,-0.16603118713314435,-0.17176234773713894,1764276336.3562582,Clean
