bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
0,14,0.0023572444915771484,False,False,True,False,False,False,False,False,False,False,True,0.0,0.0,0.07585332741102713,52.076610574865775,1161168127501.9785,1161.1681275019787,1.0,0.8893016099795057,0.5190359750499755,0.0,0.11069839002049431,3,0.1,inf,inf,-inf,-inf,1764276745.6984828,Clean
1,14,0.0012934207916259766,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.976254050927889,45749258584.84714,0.16098878781167242,1348.1031767942327,0.8764273447357401,0.8764273447357401,1.0823616478461673,0.12357265526425987,0.01287426524376556,3,0.0,inf,inf,-inf,-inf,1764276745.7427242,Clean
2,14,0.0019960403442382812,False,False,False,False,False,True,False,False,True,False,True,0.0,0.0,0.5992211409344188,42.61334697240228,0.017160681705634822,1324.9688072708946,0.7929274664145811,0.7735391665276519,0.9152908628021287,0.08349987832115902,0.10288817820808827,3,0.2,1e-06,36816160190.59525,0.804721911413431,0.7946189457047772,1764276745.7717214,Clean
3,14,0.0020389556884765625,False,False,False,False,False,False,False,False,True,False,True,0.0,0.0,0.8898063339801974,7.971125912254784,0.2063557393136187,1051.5538894788192,0.8093828046740749,0.761264477451312,0.5150484595520411,0.016455338259493746,0.012274689076339884,3,0.1,1e-06,31247324726.449677,0.788205062771727,0.7670602813669887,1764276745.8049433,Clean
4,14,0.002947092056274414,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,0.5745951776274385,5.227692742275493,0.3451373756061042,1414.4844392022753,0.8154856352811819,0.8401583182921122,0.9160299904346997,0.006102830607107035,0.0788938408408002,3,0.1,1e-06,27449555161.69716,0.7828110558301373,0.7758496823917491,1764276745.8391829,Clean
5,14,0.0024662017822265625,False,False,False,True,False,False,False,False,True,False,True,0.0,0.0,0.7231801416189758,5.80806464342994,0.20834864569748426,1709.1903564704432,0.7967767342032337,0.7307861841495948,0.9845065616370159,0.018708901077948203,0.10937213414251734,3,0.2,1e-06,24674618460.60521,0.7753381990660476,0.7519569221834304,1764276745.8781946,Clean
6,14,0.0021893978118896484,True,False,False,True,True,True,False,False,True,False,True,1.0,0.0,2.0211099223217444,7.224340726858886,0.012135620281973744,1729.932441626192,0.7128880056198642,0.6653135942371343,1.503393771430978,0.08388872858336949,0.06547258991246052,3,0.5,1e-06,22544514042.845825,0.7464231898676936,0.7153871931349391,1764276745.9139452,Poisoned
7,14,0.0024988651275634766,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.9678038964494551,4.830935702610666,0.1816317039340807,1415.7218645626006,0.7930700006422423,0.782161974448546,1.0306729178230711,0.0801819950223781,0.11684838021141164,3,0.0,1e-06,20848802443.020214,0.7463439071501806,0.7191077638268828,1764276745.9484034,Clean
8,14,0.002552509307861328,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.4270441537499128,3.33059081961097,0.04761134775467772,1483.126290580239,0.7908434010736434,0.8168737413062063,0.7843650462406174,0.0022265995685989415,0.03471176685766031,3,0.0,1e-06,19460855842.96682,0.7463081638402533,0.725617555636888,1764276745.9846973,Clean
9,14,0.0026216506958007812,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,1.3732153166618968,3.4092923174559884,0.11005334101122127,1319.9032871601942,0.7450483317968065,0.7975621210605369,0.986619474405989,0.04579506927683685,0.019311620245669348,3,0.0,1e-06,18299703442.771656,0.7389852148466429,0.7295224317397455,1764276746.0214658,Clean
10,14,0.0026159286499023438,True,False,False,False,True,False,False,False,False,False,True,0.0,0.0,1.6068834308113402,3.0066652540130847,0.20496890892534259,1590.4424238165973,0.7625909093302617,0.7438648937842467,1.3185202208029903,0.017542577533455228,0.05369722727629023,3,0.2,1e-06,17311010642.693264,0.7363508934812386,0.7263544848817446,1764276746.0580287,Clean
11,14,0.002620697021484375,False,False,False,False,False,False,False,False,True,False,True,0.0,0.0,0.8023039488845733,2.5117071284389567,0.0634809273596,1489.4796638406062,0.7743051070643566,0.6688136401265143,0.9403087435337282,0.011714197734094878,0.07505125365773235,3,0.1,1e-06,16456865320.344118,0.7359171405135108,0.7104304785815277,1764276746.0946321,Clean
12,14,0.0026116371154785156,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.04650168601401328,2.396431620330631,0.021841182526478507,1456.9476666331639,0.8018384366677188,0.8596206949375352,0.716924448960639,0.02753332960336219,0.1908070548110209,3,0.0,1e-06,15709949172.295826,0.7383451792995861,0.7158929451002047,1764276746.1318638,Clean
13,14,0.0026655197143554688,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.2569311750433507,2.053729873543994,0.015735221943826892,1434.0222717381346,0.788354829895522,0.7523269102125208,0.7953576486670827,0.013483606772196843,0.10729378472501439,3,0.0,1e-06,15050039737.851688,0.7394125440034408,0.7155403002865738,1764276746.1693394,Clean
14,14,0.0026693344116210938,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.23740221925169713,2.7388302753648768,0.10902613944717858,1590.3681839071253,0.7799568809743551,0.7993462598015343,0.8665134347402257,0.008397948921166853,0.04701934958901344,3,0.0,1e-06,14461820667.64432,0.7396974532537806,0.7187943560133319,1764276746.2069685,Clean
15,14,0.0026674270629882812,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.3596448365929432,2.3485620170832884,0.07513122020680037,1470.8818816720348,0.8032341543427938,0.8673454119469446,0.8062201173449244,0.023277273368438656,0.0679991521454103,3,0.0,1e-06,13933460955.921753,0.7417325107563598,0.7229132310876792,1764276746.2441335,Clean
0,14,0.003123044967651367,True,False,True,True,False,False,False,False,False,False,True,1.0,0.0,-1.4439580457129635,6.442308950285778,1.1800019822749805,3206.525417738569,0.8425329766143179,0.9413784600915822,0.4403223268394844,0.03929882227152415,0.07403304814463763,4,0.3,1e-06,13455664296.454609,0.7451579000405095,0.7245149063156365,1764276945.0760329,Poisoned
1,14,0.002638101577758789,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.2931963801011561,7.437621150912518,0.12329273284193659,3601.866699418813,0.8364033420776132,0.9331836170420165,0.4971610294025901,0.006129634536704676,0.008194843049565748,4,0.1,1e-06,13021015785.896847,0.7481456974554597,0.7276719266472726,1764276945.1190941,Clean
2,14,0.002327442169189453,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.1925723578896859,4.549516944006098,0.07430148971135048,3334.2426379102158,0.8406708501388138,0.9453820665388436,0.5411782174625339,0.004267508061200576,0.012198449496827135,4,0.1,1e-06,12623522346.806156,0.7509937415549398,0.7309248968633315,1764276945.1490622,Clean
3,14,0.002374887466430664,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.3150332958589215,3.7268508280750634,0.027595996656700723,3426.2543865986427,0.8484491581933967,0.9389224245992922,0.5041199920508973,0.007778308054582905,0.006459641939551397,4,0.1,1e-06,12258282681.443892,0.7537763981791248,0.7347103141257996,1764276945.1803942,Clean
4,14,0.002388477325439453,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.2770105519261403,3.6171430604747514,0.019407344436918637,3492.7488856078853,0.851545527997167,0.9564510990697933,0.4854701326931766,0.0030963698037702603,0.017528674470501104,4,0.1,1e-06,11921245854.822891,0.7564133913409932,0.7382526787613318,1764276945.2118306,Clean
5,14,0.002369403839111328,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.239806113183014,3.2807843548160425,0.11036437976680316,3878.223950049303,0.8543325313687842,0.9261432660660238,0.5358696522080207,0.0027870033716171916,0.03030783300376949,4,0.1,1e-06,11609031780.730993,0.758916150863786,0.7423052067454919,1764276945.2467432,Clean
6,14,0.002490997314453125,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-0.7771180298461777,3.406217155519352,0.07074003744168197,3603.8782426155167,0.8330846983884743,0.8941415719375833,0.7588044547233633,0.021247832980309855,0.03200169412844056,4,0.1,1e-06,11318795747.525301,0.7608144285922464,0.7460355107051421,1764276945.2785609,Clean
7,14,0.002387523651123047,False,False,False,True,False,False,False,False,False,False,True,0.0,0.0,-1.0510920871498761,2.484470256063204,0.04484107362862737,3442.2764729897413,0.8651986176966915,0.9147048749551753,0.6307792317106462,0.032113919308217165,0.020563303017592016,4,0.1,1e-06,11048124800.77844,0.7631142384260399,0.7497214514870649,1764276945.3105073,Clean
8,14,0.002101898193359375,False,False,True,True,False,True,True,False,True,True,True,1.0,0.0,-1.2578734045313376,26869.030785173614,1794.229713984017,6179677.008061078,0.043930686510420126,0.038601559802050836,-0.03129810634878146,0.8212679311862714,0.8761033151531245,4,0.6,1e-06,10794958376.063072,0.6257887513514434,0.6265924210544462,1764276945.3436072,Poisoned
9,14,0.002103567123413086,False,False,True,False,False,False,True,False,False,True,True,2.0,0.0,-1.036401752576895,2.822908998954235,0.9994678356801008,3288.6036121912825,0.854523324766825,0.9376443814620741,0.5663094584088689,0.8105926382564049,0.8990428216600233,4,0.36,1e-06,10557522044.330748,0.6309838988177618,0.6333000557822281,1764276945.3744757,Poisoned
10,14,0.0023679733276367188,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-0.8173499095509542,2.532785348192245,0.06314872749531004,3496.2747455377053,0.8549465582817521,0.937181421865766,0.67993980018414,0.0004232335149271238,0.0004629595963080435,4,0.0,1e-06,10334283058.963474,0.6358808582023052,0.6396522821722029,1764276945.4054976,Clean
11,14,0.0024194717407226562,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-1.200887710662993,2.4287912531205134,0.056034808013057054,3692.1878296648665,0.8647393722821886,0.8922583888831691,0.567304457482326,0.009792814000436412,0.04492303298259692,4,0.0,1e-06,10123907188.189838,0.6406973256405154,0.644974566021598,1764276945.4387434,Clean
12,14,0.002443075180053711,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-1.3004450900672941,2.3291757024283455,0.04286673705750979,3533.915784803642,0.8696501922173945,0.9450029396230804,0.48637773074769197,0.004910819935205923,0.052744550739911245,4,0.0,1e-06,9925227665.329033,0.6453413612897904,0.6507773194282762,1764276945.4718418,Clean
13,14,0.002523660659790039,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-1.0569035969374516,2.1391434492059096,0.005759578241857064,3513.561920340926,0.864718606217073,0.9135128047464096,0.6225600992852167,0.004931586000321508,0.03149013487667074,4,0.0,1e-06,9737219263.555458,0.6496525719027826,0.6559036720114897,1764276945.5049872,Clean
14,14,0.002402067184448242,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-1.3656349728433044,2.672688579109359,0.022928293523684938,3594.121899364168,0.8762264255984368,0.9420580162161692,0.4481990797915649,0.011507819381363804,0.028545211469759635,4,0.0,1e-06,9558977092.58971,0.6539397455197153,0.6611438136036822,1764276945.5387404,Clean
15,14,0.0024404525756835938,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,-1.14988423176598,1.8363306311897232,0.018010713223549534,3529.3892005442226,0.8763005182471533,0.965031230917854,0.5601041867484879,7.409264871649501e-05,0.022973214701684785,4,0.0,1e-06,9389699136.443007,0.6580189161129115,0.6663405655382793,1764276945.5721018,Clean
