attack_summary_attack_config_poison_ratio,attack_summary_attack_config_source_class,attack_summary_attack_config_target_class,attack_summary_attack_config_type,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
1.0,None,1,label_flip,,True,0,12,0,0,0,0,0,mnist,212542,10000,1080,6000,12,1764275964.154761,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153757,session_1764275879_12,1764275879.452919,84.70184230804443,1764275964.1549337,declining,0.0,0.0,0,1
1.0,None,1,label_flip,,True,0,13,0,0,0,0,0,mnist,212542,10000,1080,6000,13,1764275964.1883757,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153757,session_1764275879_13,1764275879.3582616,84.83011484146118,1764275964.1885362,declining,0.0,0.0,0,1
1.0,None,1,label_flip,,True,0,10,0,0,0,0,0,mnist,212542,10000,1080,6000,10,1764275964.2368026,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153757,session_1764275878_10,1764275878.4455767,85.7912266254425,1764275964.2370644,declining,0.0,0.0,0,1
1.0,None,1,label_flip,,True,0,14,0,0,0,0,0,mnist,212542,10000,1080,6000,14,1764275964.2374096,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153757,session_1764275879_14,1764275879.3635128,84.87389731407166,1764275964.2377062,declining,0.0,0.0,0,1
