attack_summary_attack_config,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
None,,False,0,32,0.10312500000000001,31,0.96875,1,32,mnist,212542,10000,1080,6000,32,1764278183.6050856,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276198_32,1764276198.3465762,1985.2585096359253,1764278183.605263,declining,0.47955000000000003,1.804238221421172,0.1447,10
None,,False,0,39,0,0,0,0,0,mnist,212542,10000,1080,6000,39,1764278183.6376839,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276199_39,1764276199.1149259,1984.5227587223053,1764278183.6379347,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,33,0.165625,25,0.78125,7,32,mnist,212542,10000,1080,6000,33,1764278183.6681075,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276198_33,1764276198.6943893,1984.973718881607,1764278183.6683722,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,26,0.0625,16,1.0,0,16,mnist,212542,10000,1080,6000,26,1764278183.6789815,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276198_26,1764276198.5906787,1985.0883030891418,1764278183.6792326,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,37,0.22703125000000002,42,0.65625,22,64,mnist,212542,10000,1080,6000,37,1764278183.679815,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276198_37,1764276198.5841815,1985.0956344604492,1764278183.6801481,declining,0.47955000000000003,1.804238221421172,0.1447,10
None,,False,0,36,0.094375,27,0.84375,5,32,mnist,212542,10000,1080,6000,36,1764278183.711485,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154317,session_1764276199_36,1764276199.106185,1984.6053001880646,1764278183.7118115,declining,0.47955000000000003,1.804238221421172,0.1447,10
