bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
0,30,0.0022330284118652344,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,-1.5761639928936715,98.81178673828815,2765461584298.044,2765.4615842980443,1.0,0.8877718154617809,0.40674259180971567,0.0,0.11222818453821914,5,0.1,inf,inf,-inf,-inf,1764277143.759037,Clean
1,30,0.0012826919555664062,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5871417207640526,37565444777.13107,0.026775735695185494,2839.5088527544244,0.978046393856981,0.978046393856981,0.3818917403248641,0.021953606143019,0.09027457839520014,5,0.0,inf,inf,-inf,-inf,1764277143.791766,Clean
2,30,0.0020248889923095703,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5635132702187584,33.7507107666413,0.07718308181509058,2620.3468086575285,0.9709840659891489,0.9746514698148915,0.3995686605099922,0.007062327867832119,0.00339492404208952,5,0.0,1e-06,30230335432.118015,0.9706553893600322,0.9050445777185532,1764277143.8241289,Clean
3,30,0.001988649368286133,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5631646747331942,8.887382855649438,0.06341812619530952,2786.5242932445117,0.9671518136456347,0.9576142122237328,0.38128975991374287,0.003832252343514142,0.017037257591158705,5,0.0,1e-06,25657675949.95719,0.966332034474732,0.9130391263844194,1764277143.855489,Clean
4,30,0.002959012985229492,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,-1.5726367976945894,7.604332967579242,0.08097440196820527,3012.161431459943,0.9511215401942981,0.9627387090141839,0.37579342256086207,0.016030273451336674,0.005124496790451127,5,0.2,1e-06,22539266881.184067,0.9575212718011696,0.9191086058600207,1764277143.889989,Clean
5,30,0.002366304397583008,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5730553171629307,3.181916549866787,0.04443486433282974,2878.3164469043936,0.9614576958331302,0.9261974729563698,0.3794081314053426,0.010336155638832167,0.03654123605781412,5,0.0,1e-06,20260722164.660774,0.9562374714942884,0.9161471075152315,1764277143.923767,Clean
6,30,0.0024366378784179688,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,-1.4453808857951271,3.9468861800000488,0.00457110501583554,2891.473533652005,0.94908163921998,0.9535628975089521,0.3965854782734714,0.012376056613150221,0.027365424552582285,5,0.1,1e-06,18511659504.889015,0.952140309592611,0.9192475220848516,1764277143.9574766,Clean
7,30,0.002459287643432617,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,-1.5136313529829566,2.3843276265588957,0.05210132440773323,2740.823933058775,0.9618685930440132,0.9563217973506188,0.4207137629159398,0.012786953824033165,0.002758899841666773,5,0.1,1e-06,17119283705.698074,0.9522347272226319,0.9219885707898672,1764277143.9906273,Clean
8,30,0.0023834705352783203,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5262051710686042,2.7740768105215343,0.003895820013958767,2751.5016897919263,0.9554554859320563,0.9628184437663603,0.39418597460359417,0.006413107111956862,0.006496646415741436,5,0.0,1e-06,15979618649.135813,0.9512837455012517,0.9247071367244108,1764277144.023699,Clean
9,30,0.002470254898071289,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5446980864270685,2.397329827706795,0.019937041702258986,2696.6448858586887,0.9568817708381308,0.9645489387041699,0.3932542865026445,0.0014262849060744376,0.0017304949378096346,5,0.0,1e-06,15026177921.768347,0.950850141831441,0.9270832155771858,1764277144.0570061,Clean
10,30,0.0021860599517822266,False,False,True,True,False,True,True,False,True,True,False,1.0,0.0,-1.2365701489882677,24734.58003399435,2283.649719689858,6160888.982582426,0.021497101326926712,0.02309800069071741,-0.01614134501007667,0.935384669511204,0.9414509380134525,5,0.6,1e-06,14214348055.904192,0.607771341548657,0.5996887769144557,1764277144.0893242,Poisoned
11,30,0.0021200180053710938,False,False,True,False,False,False,True,False,False,True,False,2.0,0.0,-1.5163858902831484,2.3034222363775134,0.9995474185145587,2788.304287374633,0.960166948602706,0.9688756389561559,0.41540670164626964,0.9386698472757793,0.9457776382654385,5,0.36,1e-06,13512995631.543303,0.625109469776095,0.6180096368976006,1764277144.12063,Poisoned
12,30,0.0024695396423339844,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.5397467480055564,2.184199092397477,0.013598209495112099,2826.220233210486,0.9611637506824217,0.9594325006990941,0.3784037908645504,0.0009968020797156418,0.009443138257061778,5,0.0,1e-06,12899690801.305565,0.6403254564504304,0.633550133262945,1764277144.156287,Clean
13,30,0.0026276111602783203,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.488555085848217,2.496573520474932,0.05626816769567444,2985.246467237738,0.9578064326440991,0.9562532183953832,0.42124244177980824,0.00335731803832251,0.0031792823037108953,5,0.0,1e-06,12357828578.895142,0.6535906245620471,0.6471203204631181,1764277144.1909068,Clean
