attack_summary_attack_config,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
None,,False,0,21,0.24875000000000003,18,0.5625,14,32,mnist,212542,10000,1080,6000,21,1764278183.575279,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154315,session_1764276196_21,1764276196.6160822,1986.9591972827911,1764278183.5754519,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,30,0.055,30,0.9375,2,32,mnist,212542,10000,1080,6000,30,1764278183.6081595,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154315,session_1764276197_30,1764276197.0963962,1986.5117635726929,1764278183.6083934,improving,0.5167555555555556,1.3881362814672782,0.7911,10
None,,False,0,20,0,0,0,0,0,mnist,212542,10000,1080,6000,20,1764278183.704521,dataset_mnist_clients_50_buckets_2_eps_1.0_20251127_154315,session_1764276196_20,1764276196.8314018,1986.873119354248,1764278183.7048361,improving,0.5167555555555556,1.3881362814672782,0.7911,10
