client_id,data_samples_used,is_malicious,model_parameters_count,round,timestamp,training_accuracy,training_epochs,training_loss,training_time,val_accuracy,val_loss
7,1080,False,212542,1,1764276256.7171545,0.25,1,2.339754819869995,14.166067361831665,0.5221666693687439,1.9763062000274658
12,1080,False,212542,1,1764276257.4616044,0.24444444477558136,1,2.3469278812408447,14.940682172775269,0.5753333568572998,2.0027096271514893
8,1080,False,212542,1,1764276258.1680052,0.20185184478759766,1,2.3681442737579346,15.604998350143433,0.5191666483879089,2.0850517749786377
11,1080,False,212542,1,1764276265.941104,0.2768518626689911,1,2.314166307449341,9.374646425247192,0.5753333568572998,1.882802128791809
9,1080,False,212542,1,1764276266.7377167,0.2666666805744171,1,2.3085196018218994,8.99793004989624,0.4508333206176758,1.9409219026565552
12,1080,False,212542,2,1764276464.5454347,0.12037037312984467,1,2.304657220840454,14.604016065597534,0.09749999642372131,2.3013997077941895
7,1080,False,212542,2,1764276464.7498624,0.13148148357868195,1,2.304410219192505,13.964573383331299,0.09616667032241821,2.3006534576416016
9,1080,False,212542,2,1764276467.242692,0.19629628956317902,1,2.303788185119629,16.31832265853882,0.10050000250339508,2.3018500804901123
11,1080,False,212542,2,1764276470.1234548,0.11296296119689941,1,2.302424669265747,8.579155683517456,0.10533333569765091,2.2950801849365234
8,1080,False,212542,2,1764276471.7546282,0.12037037312984467,1,2.2994415760040283,20.873523950576782,0.11100000143051147,2.2894108295440674
12,1080,False,212542,3,1764276665.4275148,0.10925926268100739,1,2.2814853191375732,14.29753828048706,0.13633333146572113,2.233126163482666
8,1080,False,212542,3,1764276665.8012738,0.1268518567085266,1,2.2626469135284424,14.680229902267456,0.12383333593606949,2.181706428527832
7,1080,False,212542,3,1764276666.6440926,0.10000000149011612,1,2.2859113216400146,14.907432556152344,0.22066666185855865,2.2384989261627197
11,1080,False,212542,3,1764276672.5791593,0.10555555671453476,1,2.274723768234253,7.7208099365234375,0.1054999977350235,2.204864025115967
9,1080,False,212542,3,1764276672.6012192,0.10925926268100739,1,2.2831993103027344,7.478851795196533,0.0989999994635582,2.269846200942993
7,1080,False,212542,4,1764276866.9162693,0.23981481790542603,1,2.023484230041504,14.771512985229492,0.5036666393280029,1.6212388277053833
9,1080,False,212542,4,1764276872.6415472,0.27129629254341125,1,2.0613198280334473,7.666999816894531,0.43833333253860474,1.6881349086761475
11,1080,False,212542,4,1764276872.780305,0.25648146867752075,1,2.039583683013916,8.041255474090576,0.39399999380111694,1.6524300575256348
12,1080,False,212542,4,1764276872.9666588,0.21944443881511688,1,2.0718863010406494,8.13559341430664,0.45483332872390747,1.7106250524520874
8,1080,False,212542,4,1764276873.0862167,0.2527777850627899,1,2.0262789726257324,20.99670696258545,0.4698333442211151,1.5933740139007568
