attack_summary_attack_config_poison_ratio,attack_summary_attack_config_source_class,attack_summary_attack_config_target_class,attack_summary_attack_config_type,attack_summary_attack_rounds,attack_summary_is_malicious_client,attack_summary_total_attacks_performed,client_id,detection_summary_average_suspicion_score,detection_summary_clean_verdicts,detection_summary_detection_accuracy,detection_summary_poisoned_verdicts,detection_summary_total_bucket_evaluations,model_summary_dataset,model_summary_model_length,model_summary_test_samples,model_summary_training_samples,model_summary_validation_samples,session_metadata_client_id,session_metadata_end_time,session_metadata_experiment_name,session_metadata_session_id,session_metadata_start_time,session_metadata_total_duration,timestamp,training_summary_accuracy_trend,training_summary_average_accuracy,training_summary_average_loss,training_summary_final_accuracy,training_summary_total_rounds
1.0,None,1,label_flip,,True,0,7,0,0,0,0,0,mnist,212542,10000,1080,6000,7,1764275964.211973,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153755,session_1764275877_7,1764275877.0409422,87.17103147506714,1764275964.21218,declining,0.0,0.0,0,1
1.0,None,1,label_flip,,True,0,5,0,0,0,0,0,mnist,212542,10000,1080,6000,5,1764275964.2263653,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153755,session_1764275876_5,1764275876.7241712,87.50219488143921,1764275964.2265146,declining,0.0,0.0,0,1
1.0,None,1,label_flip,,True,0,8,0,0,0,0,0,mnist,212542,10000,1080,6000,8,1764275964.6794188,dataset_mnist_clients_50_buckets_2_eps_1.0_attack_label_flip_poison_1.0_20251127_153755,session_1764275877_8,1764275877.4816225,87.1977972984314,1764275964.679817,declining,0.0,0.0,0,1
